No.,Stakeholders/ Themes/ Aspects,Weight,Estimations,Points,MaxPoints
A,Suppliers,,0,0,0
A1,Human dignity in the supply chain,,0,0,0
A1.1,Working conditions and social impact in the supply chain,,0,0,0
A1.2,Negative aspect: violation of human dignity in the supply chain,,0,0,0
A2,Solidarity and social justice in the supply chain,,0,0,0
A2.1,Fair business practices towards direct suppliers,,0,0,0
A2.2,Exercising a positive influence on solidarity and social justice in the supply chain,,0,0,0
A2.3,Negative aspect: abuse of market power against suppliers,,0,0,0
A3,Environmental sustainability in the supply chain,,0,0,0
A3.1,Environmental impact throughout the supply chain,,0,0,0
A3.2,Negative aspect: disproportionate environmental impact throughout the supply chain,,0,0,0
A4,Transparency & co-determination in the supply chain,,0,0,0
A4.1,Transparency towards suppliers and their right to co-determination,,0,0,0
A4.2,Positive influence on transparency and co-determination throughout the supply chain,,0,0,0
B,"Owners, equity- and financial service providers",,0,0,0
B1,Ethical position in relation to financial resources,,0,0,0
B1.1,Financial independence through equity financing,,0,0,0
B1.2,Common Good-orientated borrowing,,0,0,0
B1.3,Ethical position of external financial partners,,0,0,0
B2,Social position in relation to financial resources,,0,0,0
B2.1,Solidarity and Common Good-orientated use of funds,,0,0,0
B2.2,Negative aspect: unfair distribution of funds,,0,0,0
B3,Use of funds in relation to social and environmental impacts,,0,0,0
B3.1,Environmental quality of investments,,0,0,0
B3.2,Common Good-orientated investment,,0,0,0
B3.3,Negative aspect: reliance on environmentally unsafe resources,,0,0,0
B4,Ownership and co-determination,,0,0,0
B4.1,Common Good-orientated ownership structure,,0,0,0
B4.2,Negative aspect: hostile takeover,,0,0,0
C,Employees,,0,0,0
C1,Human dignity in the workplace and working environment,,0,0,0
C1.1,Employee-focused organisational culture,,0,0,0
C1.2,Health promotion and occupational health and safety,,0,0,0
C1.3,Diversity and equal opportunities,,0,0,0
C1.4,Negative aspect: unfit working conditions,,0,0,0
C2,Self-determined working arrangements,,0,0,0
C2.1,Pay structure,,0,0,0
C2.2,Structuring working time,,0,0,0
C2.3,Employment structure and work-life balance,,0,0,0
C2.4,Negative aspect: unfair employment contracts,,0,0,0
C3,Environmentally-friendly behaviour of staff,,0,0,0
C3.1,Food during working hours,,0,0,0
C3.2,Travel to work,,0,0,0
C3.3,"Organisational culture, cultivating awareness for an environmentally-friendly approach",,0,0,0
C3.4,Negative aspect: guidance on waste/ environmentally damaging practices,,0,0,0
C4,Co-determination and transparency within the organisation,,0,0,0
C4.1,Transparency within the organisation,,0,0,0
C4.2,Legitimation of the management,,0,0,0
C4.3,Employee co-determination,,0,0,0
C4.4,Negative aspect: obstruction of works councils,,0,0,0
D,Customers and other companies,,0,0,0
D1,Ethical customer relations,,0,0,0
D1.1,Respect for human dignity in communication with customers,,0,0,0
D1.2,Barrier-free access,,0,0,0
D1.3,Negative aspect: unethical advertising,,0,0,0
D2,Cooperation and solidarity with other companies,,0,0,0
D2.1,Cooperation with other companies,,0,0,0
D2.2,Solidarity with other companies,,0,0,0
D2.3,Negative aspect: abuse of market power to the detriment of other companies,,0,0,0
D3,Impact on the environment of the use and disposal of products and services,,0,0,0
D3.1,Environmental cost-benefit ration of products and services (efficiency and consistency) ,,0,0,0
D3.2,Moderate use of products and services (sufficiency),,0,0,0
D3.3,Negative aspect: wilful disregard of disproportionate environmental impacts,,0,0,0
D4,Customer participation and product transparency,,0,0,0
D4.1,"Customer participation, joint product development and market research",,0,0,0
D4.2,Product transparency,,0,0,0
D4.2,Negative aspect: non-disclosure of hazardous substances,,0,0,0
E,Social environment,,0,0,0
E1,Purpose of products and services and their effects on society,,0,0,0
E1.1,Products and services should cover basic needs and contribute to a good life,,0,0,0
E1.2,Social impact of products and services,,0,0,0
E1.3,Negative aspect: unethical and unfit products and services,,0,0,0
E2,Contribution to the community,,0,0,0
E2.1,Taxes and social security contributions,,0,0,0
E2.2,Voluntary contributions that strengthen society,,0,0,0
E2.3,Negative aspect: inappropriate non-payment of tax,,0,0,0
E2.4,Negative aspect: no anti-corruption policy,,0,0,0
E3,Reduction of environmental impact,,0,0,0
E3.1,Absolute impact and management strategy,,0,0,0
E3.2,Relative impact,,0,0,0
E3.3,Negative aspect: infringement of environmental regulations and disproportionate environmental pollution,,0,0,0
E4,Social co-determination and transparency,,0,0,0
E4.1,Transparency,,0,0,0
E4.2,Social participation,,0,0,0
E4.3,Negative aspect: lack of transparency and wilful misinformation,,0,0,0
