Purchasing Power Parity Tables
Data Source,Worldbank Data
Last Updated Date,2_2018,,,http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD,,, 

Country Code,Country Name,PPP Factor,,Region,ITUC,,,,code
ABW Aruba ,Aruba,1.9628994497935313,est,Americas,3.4210526315789473,est,,,ABW
AFG Afghanistan ,Afghanistan,3.7763264165136152,-,Asia,4.1785714285714288,est,,,AFG
AGO Angola ,Angola,1.7217817922468739,-,Africa,2,,,,AGO
ALB Albania ,Albania,2.9566126666919685,-,Europe,2,,,,ALB
AND Andorra ,Andorra,1.9328616451977572,est,Europe,2,est,,,AND
ARE United Arab Emirates ,United Arab Emirates,2.0501080313559403,-,Asia,5,,,,ARE
ARG Argentina ,Argentina,1.6274705907178522,-,Americas,4,,,,ARG
ARM Armenia ,Armenia,2.6723673375423806,-,Asia,4.1785714285714288,est,,,ARM
ASM American Samoa ,American Samoa,1.3563308370936336,est,Oceania,3,,,,ASM
ATG Antigua and Barbuda ,Antigua and Barbuda,1.7740364576924315,-,Americas,3.4210526315789473,est,,,ATG
AUS Australia ,Australia,0.97205158284555404,-,Oceania,3,est,,,AUS
AUT Austria ,Austria,1.252387363411503,-,Europe,1,,,,AUT
AZE Azerbaijan ,Azerbaijan,4.7310309171486411,-,Asia,4.1785714285714288,est,,,AZE
BDI Burundi ,Burundi,2.6736725667356298,-,Africa,3.7083333333333335,est,,,BDI
BEL Belgium ,Belgium,1.2371047295750917,-,Europe,1,,,,BEL
BEN Benin ,Benin,3.0882926553539054,-,Africa,3.7083333333333335,est,,,BEN
BFA Burkina Faso ,Burkina Faso,3.1441203989430693,-,Africa,3.7083333333333335,est,,,BFA
BGD Bangladesh ,Bangladesh,2.911298949024506,-,Asia,5,,,,BGD
BGR Bulgaria ,Bulgaria,2.8473179290648658,-,Europe,3,,,,BGR
BHR Bahrain ,Bahrain,2.2575642821440924,-,Asia,4,,,,BHR
BHS Bahamas ,"Bahamas, The",1.117305709261889,-,Americas,3.4210526315789473,est,,,BHS
BIH Bosnia and Herzegovina ,Bosnia and Herzegovina,2.8020129057999972,-,Europe,2,,,,BIH
BLR Belarus ,Belarus,3.8046141829507074,-,Europe,5,,,,BLR
BLZ Belize ,Belize,1.9778456107043767,-,Americas,3.4210526315789473,est,,,BLZ
BMU Bermuda ,Bermuda,1.9628994497935313,est,Americas,3.4210526315789473,est,,,BMU
"BOL Bolivia, Plurinational State of ",Bolivia,2.4675622866480187,-,Americas,3,,,,BOL
BRA Brazil ,Brazil,1.7802721126230918,-,Americas,3,,,,BRA
BRB Barbados ,Barbados,1.2540038546613537,-,Americas,3.4210526315789473,est,,,BRB
BRN Brunei Darussalam ,Brunei Darussalam,3.1176181528100453,-,Asia,4.1785714285714288,est,,,BRN
BTN Bhutan ,Bhutan,3.3234092918740692,-,Asia,4.1785714285714288,est,,,BTN
BWA Botswana ,Botswana,2.5503043498706708,-,Africa,4,,,,BWA
CAF Central African Republic ,Central African Republic,1.959025642488365,-,Africa,3.7083333333333335,est,,,CAF
CAN Canada ,Canada,1.1634745723704574,-,Americas,3,,,,CAN
CHE Switzerland ,Switzerland,0.9153882839101658,-,Europe,2,est,,,CHE
CHL Chile ,Chile,1.7644244813964496,-,Americas,3,,,,CHL
CHN China ,China,2.1503797961670617,-,Asia,5,,,,CHN
CIV Côte d'Ivoire ,Cote d'Ivoire,2.6835891443138244,-,Africa,5,,,,CIV
CMR Cameroon ,Cameroon,2.8832386484879957,-,Africa,2,,,,CMR
"COD Congo, the Democratic Republic of the ","Congo, Dem. Rep.",2.1299392810512296,-,Africa,4,,,,COD
COG Congo ,"Congo, Rep.",3.6495000244034985,-,Africa,3,,,,COG
COL Colombia ,Colombia,2.5998967962865138,-,Americas,5,,,,COL
COM Comoros ,Comoros,2.1983905043497955,-,Africa,3.7083333333333335,est,,,COM
CPV Cape Verde ,Cabo Verde,2.4021914075297448,-,Africa,3.7083333333333335,est,,,CPV
CRI Costa Rica ,Costa Rica,1.6011243751791864,-,Americas,3,,,,CRI
CUB Cuba ,Cuba,1.9628994497935313,est,Americas,3.4210526315789473,est,,,CUB
CUW Curaçao ,Curacao,1.9628994497935313,est,Americas,3.4210526315789473,est,,,CUW
CYM Cayman Islands ,Cayman Islands,1.9628994497935313,est,Americas,3.4210526315789473,est,,,CYM
CYP Cyprus ,Cyprus,1.5408651717757238,-,Asia,4.1785714285714288,est,,,CYP
CZE Czech Republic ,Czech Republic,2.0458749282975601,-,Europe,2,,,,CZE
DEU Germany ,Germany,1.2851587299547367,-,Europe,1,,,,DEU
DJI Djibouti ,Djibouti,3.0325616327831186,est,Africa,3.7083333333333335,est,,,DJI
DMA Dominica ,Dominica,1.5763123538056831,-,Americas,3.4210526315789473,est,,,DMA
DNK Denmark ,Denmark,1.0129644494868468,-,Europe,1,,,,DNK
DOM Dominican Republic ,Dominican Republic,2.5270944944526477,-,Americas,2,,,,DOM
DZA Algeria ,Algeria,4.1642622848338151,-,Africa,5,,,,DZA
ECU Ecuador ,Ecuador,2.1167738700762175,-,Americas,3,,,,ECU
EGY Egypt ,"Egypt, Arab Rep.",6.5517395198485584,-,Africa,5,,,,EGY
ERI Eritrea ,Eritrea,3.0325616327831186,est,Africa,3.7083333333333335,est,,,ERI
ESP Spain ,Spain,1.5244739040557105,-,Europe,2,,,,ESP
EST Estonia ,Estonia,1.8093292635487097,-,Europe,1,,,,EST
ETH Ethiopia ,Ethiopia,2.9561559727359685,-,Africa,3,,,,ETH
FIN Finland ,Finland,1.1142731707534492,-,Europe,1,,,,FIN
FJI Fiji ,Fiji,1.9119851455613843,-,Oceania,3,est,,,FJI
FRA France ,France,1.2528941855686637,-,Europe,1,,,,FRA
FRO Faroe Islands ,Faroe Islands,1.9328616451977572,est,Europe,2,est,,,FRO
"FSM Micronesia, Federated States of ","Micronesia, Fed. Sts.",1.2835496050163311,-,Oceania,3,est,,,FSM
GAB Gabon ,Gabon,2.843344628252908,-,Africa,3.7083333333333335,est,,,GAB
GBR United Kingdom ,United Kingdom,1.2471403241674037,-,Europe,3,,,,GBR
GEO Georgia ,Georgia,2.9423586688331254,-,Asia,3,,,,GEO
GHA Ghana ,Ghana,3.2149076522948876,-,Africa,3,,,,GHA
GIB Gibraltar ,Gibraltar,1.9328616451977572,est,Europe,2,est,,,GIB
GIN Guinea ,Guinea,3.0159220685796839,-,Africa,3.7083333333333335,est,,,GIN
GMB Gambia ,"Gambia, The",3.8671758828063174,-,Africa,3.7083333333333335,est,,,GMB
GNB Guinea-Bissau ,Guinea-Bissau,2.6513391296403581,-,Africa,3.7083333333333335,est,,,GNB
GNQ Equatorial Guinea ,Equatorial Guinea,2.8447864045525897,-,Africa,3.7083333333333335,est,,,GNQ
GRC Greece ,Greece,1.6836320657828721,-,Europe,5,,,,GRC
GRD Grenada ,Grenada,1.6245427020829402,-,Americas,3.4210526315789473,est,,,GRD
GRL Greenland ,Greenland,1.9628994497935313,est,Americas,3.4210526315789473,est,,,GRL
GTM Guatemala ,Guatemala,2.0127896231417131,-,Americas,5,,,,GTM
GUM Guam ,Guam,1.3563308370936336,est,Oceania,3,est,,,GUM
GUY Guyana ,Guyana,1.8783649421609236,-,Americas,3.4210526315789473,est,,,GUY
HKG Hong Kong ,"Hong Kong SAR, China",1.5045115274191232,-,Asia,4,,,,HKG
HND Honduras ,Honduras,2.2357860143794994,-,Americas,4,,,,HND
HRV Croatia ,Croatia,2.1432779153187802,-,Europe,2,,,,HRV
HTI Haiti ,Haiti,2.6149917209239768,-,Americas,3.4210526315789473,est,,,HTI
HUN Hungary ,Hungary,2.2503453362482495,-,Europe,2,,,,HUN
IDN Indonesia ,Indonesia,3.5949148764649079,-,Asia,4,,,,IDN
IMN Isle of Man ,Isle of Man,1.9328616451977572,est,Europe,2,est,,,IMN
IND India ,India,4.1441016395885688,-,Asia,5,,,,IND
IRL Ireland ,Ireland,1.2402454693833003,-,Europe,2,,,,IRL
"IRN Iran, Islamic Republic of ","Iran, Islamic Rep.",4.2651915869606993,-,Asia,4,,,,IRN
IRQ Iraq ,Iraq,3.6759877714184279,-,Asia,4,,,,IRQ
ISL Iceland ,Iceland,0.8592191515177231,-,Europe,1,,,,ISL
ISR Israel ,Israel,1.0762143045253052,-,Asia,3,,,,ISR
ITA Italy ,Italy,1.4042379902545883,-,Europe,1,,,,ITA
JAM Jamaica ,Jamaica,1.971695940369244,-,Americas,3.4210526315789473,est,,,JAM
JOR Jordan ,Jordan,2.4925530650495307,-,Asia,4,,,,JOR
JPN Japan ,Japan,1.289408120101881,-,Asia,2,,,,JPN
KAZ Kazakhstan ,Kazakhstan,3.3588315181911566,-,Asia,4.1785714285714288,est,,,KAZ
KEN Kenya ,Kenya,2.4223625817382604,-,Africa,4,,,,KEN
KGZ Kyrgyzstan ,Kyrgyz Republic,3.4494948712057099,-,Asia,4.1785714285714288,est,,,KGZ
KHM Cambodia ,Cambodia,3.2098097333169209,-,Asia,5,,,,KHM
KIR Kiribati ,Kiribati,1.4578886144399337,-,Oceania,3,est,,,KIR
KNA Saint Kitts and Nevis ,St. Kitts and Nevis,1.7888565277997799,-,Americas,3.4210526315789473,est,,,KNA
"KOR Korea, Republic of ","Korea, Rep.",1.4506518569594702,-,Asia,5,,,,KOR
KWT Kuwait ,Kuwait,2.7936161920559552,-,Asia,4.1785714285714288,est,,,KWT
LAO Lao People's Democratic Republic ,Lao PDR,3.1322620381478607,-,Asia,4.1785714285714288,est,,,LAO
LBN Lebanon ,Lebanon,1.9167268969756734,-,Asia,4,,,,LBN
LBR Liberia ,Liberia,3.0325616327831186,est,Africa,3.7083333333333335,est,,,LBR
LBY Libya ,Libya,2.7429361769978748,-,Africa,6,,,,LBY
LCA Saint Lucia ,St. Lucia,1.6774576013408569,-,Americas,3.4210526315789473,est,,,LCA
LIE Liechtenstein ,Liechtenstein,1.9328616451977572,est,Europe,2,est,,,LIE
LKA Sri Lanka ,Sri Lanka,3.5153613362075382,-,Asia,3,,,,LKA
LSO Lesotho ,Lesotho,2.9838131733892213,-,Africa,3.7083333333333335,est,,,LSO
LTU Lithuania ,Lithuania,2.1680617670991795,-,Europe,1,,,,LTU
LUX Luxembourg ,Luxembourg,1.1221140628944932,-,Europe,2,est,,,LUX
LVA Latvia ,Latvia,1.9943396855928879,-,Europe,2,,,,LVA
MAC Macao ,"Macao SAR, China",1.5732384462091706,-,Asia,4.1785714285714288,est,,,MAC
MAF Saint Martin (French part) ,St. Martin (French part),1.9628994497935313,est,Americas,3.4210526315789473,est,,,MAF
MAR Morocco ,Morocco,3.0507020343760036,-,Africa,4,,,,MAR
MCO Monaco ,Monaco,1.9328616451977572,est,Europe,2,est,,,MCO
"MDA Moldova, Republic of ",Moldova,2.7670105137219925,-,Europe,2,est,,,MDA
MDG Madagascar ,Madagascar,3.8637777031581284,-,Africa,3.7083333333333335,est,,,MDG
MDV Maldives ,Maldives,1.7711325139780212,-,Asia,4.1785714285714288,est,,,MDV
MEX Mexico ,Mexico,2.2994533112823494,-,Americas,4,,,,MEX
MHL Marshall Islands ,Marshall Islands,1.2618033753819571,-,Oceania,3,est,,,MHL
"MKD Macedonia, The Former Yugoslav Republic of ","Macedonia, FYR",3.1366359337907035,-,Europe,2,est,,,MKD
MLI Mali ,Mali,3.0266697017457096,-,Africa,3.7083333333333335,est,,,MLI
MLT Malta ,Malta,0.71108892792764722,-,Europe,2,est,,,MLT
MMR Myanmar ,Myanmar,5.315535822941885,-,Asia,4,,,,MMR
MNE Montenegro ,Montenegro,2.7571504779018072,-,Europe,2,est,,,MNE
MNG Mongolia ,Mongolia,3.9168356476795716,-,Asia,4.1785714285714288,est,,,MNG
MNP Northern Mariana Islands ,Northern Mariana Islands,1.3563308370936336,est,Oceania,3,est,,,MNP
MOZ Mozambique ,Mozambique,3.4066898689195604,-,Africa,3,,,,MOZ
MRT Mauritania ,Mauritania,3.8928547489684506,-,Africa,3.7083333333333335,est,,,MRT
MUS Mauritius ,Mauritius,2.3010822696567823,-,Africa,3.7083333333333335,est,,,MUS
MWI Malawi ,Malawi,3.9493473635874552,-,Africa,3.7083333333333335,est,,,MWI
MYS Malaysia ,Malaysia,3.3409539086930788,-,Asia,5,,,,MYS
NAM Namibia ,Namibia,2.2612227250983215,-,Africa,3,,,,NAM
NCL New Caledonia ,New Caledonia,1.3563308370936336,est,Oceania,3,est,,,NCL
NER Niger ,Niger,3.0345117582886689,-,Africa,3.7083333333333335,est,,,NER
NGA Nigeria ,Nigeria,3.6473316344115339,-,Africa,5,,,,NGA
NIC Nicaragua ,Nicaragua,2.9237099041681942,-,Americas,3.4210526315789473,est,,,NIC
NLD Netherlands ,Netherlands,1.2371414609403513,-,Europe,1,,,,NLD
