SUPPLIERS AND EMPLOYEE WEIGHTING RATIO,,,,,,,,,,,,,,,,
,added value of suppliers (source: income statement),Splitted added value (source¿?),Country,PPP index (source¿?),Added value adjusted,Total,%,ITUC (average),Industry,nace,ecol. Impact (A3),,,social impact (A1),,
Supplier 1,0,0.00000000000000000,Please choose,1.00,0.0000000000000000,0,-,2.99,Pl,Please enter,1,#N/A,#N/A,1,#N/A,#N/A
Supplier 2,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,-,2.99,Pl,Please enter,1,#N/A,#N/A,1,#N/A,#N/A
Supplier 3,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,-,2.99,Pl,Please enter,1,#N/A,#N/A,1,#N/A,#N/A
Supplier 4,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,-,2.99,Pl,Please enter,1,#N/A,#N/A,1,#N/A,#N/A
Supplier 5,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,-,2.99,Pl,Please enter,1,#N/A,#N/A,1,#N/A,#N/A
Rest of suppliers,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,-,2.99,Supply Chain Gewichtung,,,,1,,,1
,,,,,,,,0,,,,,,,,
Workers,0,0.00000000000000000,Please choose,1.00,0.0000000000000000,0,0 %,0,,,,,,,,
,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,,0,,,,,,,,
,,0.00000000000000000,Please choose,1.00,0.0000000000000000,,,0,,,,,,,,
,,1.00000000000000000,Country Code,1.00,0.0000000000000000,,,0,,,,,,,,
Please note that the boxes with a red frame have to be filled out. ,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Purchasing Power Parity Tables,,,,,,,,,,,,,,,,
Data Source,Worldbank Data,,,,,,,,,,,,,,,
Last Updated Date,2_2018,,,http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD,,, ,,,,,,,,,
,,,,,,,,,,,,,,,,
Country Code,Country Name,PPP Factor,,Region,ITUC,,,,code,,,,,,,
ABW Aruba ,Aruba,1.53937701809995000,2017,Americas,3.5200000000000000,est,,,ABW,,,,,,,
AFG Afghanistan ,Afghanistan,3.46739486547185000,-,Asia,5.0000000000000000,est,,,AFG,,,,,,,
AGO Angola ,Angola,1.99786838242060000,-,Africa,4.0000000000000000,,,,AGO,,,,,,,
ALB Albania ,Albania,2.63104942515307000,-,Europe,3.0000000000000000,,,,ALB,,,,,,,
AND Andorra ,Andorra,1.03314026740667000,est,Europe,2.5500000000000000,est,,,AND,,,,,,,
ARE United Arab Emirates ,United Arab Emirates,1.84087197184959000,-,Asia,5.0000000000000000,,,,ARE,,,,,,,
ARG Argentina ,Argentina,2.05212834166951000,-,Americas,4.0000000000000000,,,,ARG,,,,,,,
ARM Armenia ,Armenia,2.34714423235579000,-,Asia,4.4700000000000000,est,,,ARM,,,,,,,
ASM American Samoa ,American Samoa,1.49858687129258000,est,Oceania,4.0500000000000000,,,,ASM,,,,,,,
ATG Antigua and Barbuda ,Antigua and Barbuda,1.77524540295726000,-,Americas,3.5200000000000000,est,,,ATG,,,,,,,
AUS Australia ,Australia,0.90888933214971600,-,Oceania,3.0000000000000000,est,,,AUS,,,,,,,
AUT Austria ,Austria,1.10865320237076000,-,Europe,1.0000000000000000,,,,AUT,,,,,,,
AZE Azerbaijan ,Azerbaijan,3.12777960445176000,-,Asia,4.4700000000000000,est,,,AZE,,,,,,,
BDI Burundi ,Burundi,3.53020471512507000,-,Africa,6.0000000000000000,est,,,BDI,,,,,,,
BEL Belgium ,Belgium,1.08992643901192000,-,Europe,2.0000000000000000,,,,BEL,,,,,,,
BEN Benin ,Benin,2.70258485622299000,-,Africa,4.0000000000000000,est,,,BEN,,,,,,,
BFA Burkina Faso ,Burkina Faso,2.78761756610312000,-,Africa,3.0000000000000000,est,,,BFA,,,,,,,
BGD Bangladesh ,Bangladesh,3.63339086529371000,-,Asia,5.0000000000000000,,,,BGD,,,,,,,
BGR Bulgaria ,Bulgaria,2.53844980855237000,-,Europe,3.0000000000000000,,,,BGR,,,,,,,
BHR Bahrain ,Bahrain,2.20646254670723000,-,Asia,5.0000000000000000,,,,BHR,,,,,,,
BHS Bahamas ,"Bahamas, The",1.17704694248602000,-,Americas,3.0000000000000000,est,,,BHS,,,,,,,
BIH Bosnia and Herzegovina ,Bosnia and Herzegovina,2.42425019990565000,-,Europe,4.0000000000000000,,,,BIH,,,,,,,
BLR Belarus ,Belarus,2.96460938882835000,-,Europe,5.0000000000000000,,,,BLR,,,,,,,
BLZ Belize ,Belize,2.03532377549330000,-,Americas,3.0000000000000000,est,,,BLZ,,,,,,,
BMU Bermuda ,Bermuda,1.00304566871495000,est,Americas,3.5200000000000000,est,,,BMU,,,,,,,
"BOL Bolivia, Plurinational State of ",Bolivia,3.07604275552633000,-,Americas,3.0000000000000000,,,,BOL,,,,,,,
BRA Brazil ,Brazil,1.45982666767782000,-,Americas,5.0000000000000000,,,,BRA,,,,,,,
BRB Barbados ,Barbados,1.15832698490788000,-,Americas,2.0000000000000000,est,,,BRB,,,,,,,
BRN Brunei Darussalam ,Brunei Darussalam,2.57404930341752000,-,Asia,4.4700000000000000,est,,,BRN,,,,,,,
BTN Bhutan ,Bhutan,3.25061736452824000,-,Asia,4.4700000000000000,est,,,BTN,,,,,,,
BWA Botswana ,Botswana,2.31798796412646000,-,Africa,4.0000000000000000,,,,BWA,,,,,,,
